method,alpha,q,t,f1,precision,recall,TP,FP,FN,window,sigma,lookback,mult
quantile,0.0,0.7,0.041365,0.2069,0.1241,0.6207,18,127,11,,,,
quantile,0.0,0.8,0.057338,0.2698,0.1753,0.5862,17,80,12,,,,
quantile,0.0,0.85,0.059328,0.2745,0.1918,0.4828,14,59,15,,,,
quantile,0.0,0.9,0.061969,0.3333,0.2653,0.4483,13,36,16,,,,
quantile,0.0,0.92,0.062287,0.3824,0.3333,0.4483,13,26,16,,,,
quantile,0.0,0.94,0.063803,0.4138,0.4138,0.4138,12,17,17,,,,
quantile,0.0,0.96,0.066127,0.4898,0.6,0.4138,12,8,17,,,,
quantile,0.0,0.97,0.068016,0.5,0.7333,0.3793,11,4,18,,,,
quantile,0.0,0.98,0.072001,0.5128,1.0,0.3448,10,0,19,,,,
quantile,0.0,0.99,0.083594,0.2941,1.0,0.1724,5,0,24,,,,
quantile,0.2,0.7,0.040872,0.2069,0.1241,0.6207,18,127,11,,,,
quantile,0.2,0.8,0.055576,0.2698,0.1753,0.5862,17,80,12,,,,
quantile,0.2,0.85,0.057597,0.2745,0.1918,0.4828,14,59,15,,,,
quantile,0.2,0.9,0.060275,0.3333,0.2653,0.4483,13,36,16,,,,
quantile,0.2,0.92,0.060426,0.3529,0.3077,0.4138,12,27,17,,,,
quantile,0.2,0.94,0.062019,0.4138,0.4138,0.4138,12,17,17,,,,
quantile,0.2,0.96,0.064712,0.4898,0.6,0.4138,12,8,17,,,,
quantile,0.2,0.97,0.06678,0.5455,0.8,0.4138,12,3,17,,,,
quantile,0.2,0.98,0.070747,0.5128,1.0,0.3448,10,0,19,,,,
quantile,0.2,0.99,0.083459,0.2941,1.0,0.1724,5,0,24,,,,
quantile,0.5,0.7,0.040134,0.2069,0.1241,0.6207,18,127,11,,,,
quantile,0.5,0.8,0.052983,0.2698,0.1753,0.5862,17,80,12,,,,
quantile,0.5,0.85,0.054996,0.2745,0.1918,0.4828,14,59,15,,,,
quantile,0.5,0.9,0.057661,0.3333,0.2653,0.4483,13,36,16,,,,
quantile,0.5,0.92,0.057787,0.3824,0.3333,0.4483,13,26,16,,,,
quantile,0.5,0.94,0.059343,0.4138,0.4138,0.4138,12,17,17,,,,
quantile,0.5,0.96,0.062072,0.4898,0.6,0.4138,12,8,17,,,,
quantile,0.5,0.97,0.06419,0.5455,0.8,0.4138,12,3,17,,,,
quantile,0.5,0.98,0.070288,0.5128,1.0,0.3448,10,0,19,,,,
quantile,0.5,0.99,0.083256,0.2941,1.0,0.1724,5,0,24,,,,
quantile,0.8,0.7,0.039395,0.2069,0.1241,0.6207,18,127,11,,,,
quantile,0.8,0.8,0.050376,0.2698,0.1753,0.5862,17,80,12,,,,
quantile,0.8,0.85,0.052401,0.2745,0.1918,0.4828,14,59,15,,,,
quantile,0.8,0.9,0.054759,0.3333,0.2653,0.4483,13,36,16,,,,
quantile,0.8,0.92,0.055171,0.3824,0.3333,0.4483,13,26,16,,,,
quantile,0.8,0.94,0.057651,0.4483,0.4483,0.4483,13,16,16,,,,
quantile,0.8,0.96,0.059498,0.4898,0.6,0.4138,12,8,17,,,,
quantile,0.8,0.97,0.061522,0.5455,0.8,0.4138,12,3,17,,,,
quantile,0.8,0.98,0.070092,0.5128,1.0,0.3448,10,0,19,,,,
quantile,0.8,0.99,0.083054,0.2941,1.0,0.1724,5,0,24,,,,
quantile,1.0,0.7,0.038903,0.2069,0.1241,0.6207,18,127,11,,,,
quantile,1.0,0.8,0.048526,0.254,0.1649,0.5517,16,81,13,,,,
quantile,1.0,0.85,0.050673,0.2941,0.2055,0.5172,15,58,14,,,,
quantile,1.0,0.9,0.052956,0.3333,0.2653,0.4483,13,36,16,,,,
quantile,1.0,0.92,0.053477,0.3824,0.3333,0.4483,13,26,16,,,,
quantile,1.0,0.94,0.055869,0.4483,0.4483,0.4483,13,16,16,,,,
quantile,1.0,0.96,0.057936,0.5306,0.65,0.4483,13,7,16,,,,
quantile,1.0,0.97,0.059744,0.5455,0.8,0.4138,12,3,17,,,,
quantile,1.0,0.98,0.070336,0.5128,1.0,0.3448,10,0,19,,,,
quantile,1.0,0.99,0.082919,0.2941,1.0,0.1724,5,0,24,,,,
adaptive,,,,0.2105,0.1346,0.4828,14,90,15,10.0,1.0,,
adaptive,,,,0.2222,0.1639,0.3448,10,51,19,10.0,1.5,,
adaptive,,,,0.1695,0.1667,0.1724,5,25,24,10.0,2.0,,
adaptive,,,,0.1702,0.2222,0.1379,4,14,25,10.0,2.5,,
adaptive,,,,0.1176,0.4,0.069,2,3,27,10.0,3.0,,
adaptive,,,,0.2167,0.1429,0.4483,13,78,16,15.0,1.0,,
adaptive,,,,0.3171,0.2453,0.4483,13,40,16,15.0,1.5,,
adaptive,,,,0.2807,0.2857,0.2759,8,20,21,15.0,2.0,,
adaptive,,,,0.2326,0.3571,0.1724,5,9,24,15.0,2.5,,
adaptive,,,,0.2051,0.4,0.1379,4,6,25,15.0,3.0,,
adaptive,,,,0.2295,0.1505,0.4828,14,79,15,20.0,1.0,,
adaptive,,,,0.3611,0.3023,0.4483,13,30,16,20.0,1.5,,
adaptive,,,,0.3051,0.3,0.3103,9,21,20,20.0,2.0,,
adaptive,,,,0.3333,0.5385,0.2414,7,6,22,20.0,2.5,,
adaptive,,,,0.2778,0.7143,0.1724,5,2,24,20.0,3.0,,
adaptive,,,,0.2479,0.163,0.5172,15,77,14,30.0,1.0,,
adaptive,,,,0.3333,0.2791,0.4138,12,31,17,30.0,1.5,,
adaptive,,,,0.3492,0.3235,0.3793,11,23,18,30.0,2.0,,
adaptive,,,,0.3256,0.5,0.2414,7,7,22,30.0,2.5,,
adaptive,,,,0.2353,0.8,0.1379,4,1,25,30.0,3.0,,
adaptive,,,,0.283,0.1948,0.5172,15,62,14,50.0,1.0,,
adaptive,,,,0.3659,0.283,0.5172,15,38,14,50.0,1.5,,
adaptive,,,,0.4138,0.4138,0.4138,12,17,17,50.0,2.0,,
adaptive,,,,0.4583,0.5789,0.3793,11,8,18,50.0,2.5,,
adaptive,,,,0.5116,0.7857,0.3793,11,3,18,50.0,3.0,,
deviation,,,,0.3784,0.875,0.2414,7,1,22,,,5.0,1.5
deviation,,,,0.1875,1.0,0.1034,3,0,26,,,5.0,2.0
deviation,,,,0.129,1.0,0.069,2,0,27,,,5.0,2.5
deviation,,,,0.0,0.0,0.0,0,0,29,,,5.0,3.0
deviation,,,,0.0,0.0,0.0,0,0,29,,,5.0,4.0
deviation,,,,0.5455,0.8,0.4138,12,3,17,,,10.0,1.5
deviation,,,,0.3889,1.0,0.2414,7,0,22,,,10.0,2.0
deviation,,,,0.2424,1.0,0.1379,4,0,25,,,10.0,2.5
deviation,,,,0.1875,1.0,0.1034,3,0,26,,,10.0,3.0
deviation,,,,0.0667,1.0,0.0345,1,0,28,,,10.0,4.0
deviation,,,,0.5333,0.75,0.4138,12,4,17,,,15.0,1.5
deviation,,,,0.4324,1.0,0.2759,8,0,21,,,15.0,2.0
deviation,,,,0.3429,1.0,0.2069,6,0,23,,,15.0,2.5
deviation,,,,0.2941,1.0,0.1724,5,0,24,,,15.0,3.0
deviation,,,,0.129,1.0,0.069,2,0,27,,,15.0,4.0
deviation,,,,0.6087,0.8235,0.4828,14,3,15,,,20.0,1.5
deviation,,,,0.55,1.0,0.3793,11,0,18,,,20.0,2.0
deviation,,,,0.3429,1.0,0.2069,6,0,23,,,20.0,2.5
deviation,,,,0.2941,1.0,0.1724,5,0,24,,,20.0,3.0
deviation,,,,0.129,1.0,0.069,2,0,27,,,20.0,4.0
